propuesta,tipo,instituciones,programas,matricula,n_variantes,variantes,revisar,firma
ORTODONCIA Y ORTOPEDIA DENTO MAXILO FACIAL,Odontológica,3,3,59,1,ORTODONCIA Y ORTOPEDIA DENTO MAXILO FACIAL,,DENTO FACIAL MAXILO ORTODONCIA ORTOPEDIA
IMPLANTOLOGIA QUIRURGICA Y PROTESICA,Odontológica,1,2,46,1,IMPLANTOLOGIA QUIRURGICA Y PROTESICA,una sola institución: puede ser un duplicado sin unir,IMPLANTOLOGIA PROTESICA QUIRURGICA
PERIODONCIA E IMPLANTOLOGIA QUIRURGICA,Odontológica,1,2,42,1,PERIODONCIA E IMPLANTOLOGIA QUIRURGICA,una sola institución: puede ser un duplicado sin unir,IMPLANTOLOGIA PERIODONCIA QUIRURGICA
CIRUGIA Y TRAUMATOLOGIA BUCAL Y MAXILOFACIAL,Odontológica,4,5,34,1,CIRUGIA Y TRAUMATOLOGIA BUCAL Y MAXILOFACIAL,,BUCAL CIRUGIA MAXILOFACIAL TRAUMATOLOGIA
CIRUGIA Y TRAUMATOLOGIA BUCO MAXILOFACIAL,Odontológica,3,3,34,1,CIRUGIA Y TRAUMATOLOGIA BUCO MAXILOFACIAL,,BUCO CIRUGIA MAXILOFACIAL TRAUMATOLOGIA
ORTODONCIA Y ORTOPEDIA DENTO MAXILOFACIAL,Odontológica,2,2,21,1,ORTODONCIA Y ORTOPEDIA DENTO MAXILOFACIAL,,DENTO MAXILOFACIAL ORTODONCIA ORTOPEDIA
IMPLANTOLOGIA,Odontológica,1,2,20,1,IMPLANTOLOGIA,una sola institución: puede ser un duplicado sin unir,IMPLANTOLOGIA
ORTODONCIA Y ORTOPEDIA MAXILOFACIAL,Odontológica,1,1,20,1,ORTODONCIA Y ORTOPEDIA MAXILOFACIAL,una sola institución: puede ser un duplicado sin unir,MAXILOFACIAL ORTODONCIA ORTOPEDIA
CIRUGIA Y TRAUMATOLOGIA BUCAL Y MAXILO FACIAL,Odontológica,1,1,18,1,CIRUGIA Y TRAUMATOLOGIA BUCAL Y MAXILO FACIAL,una sola institución: puede ser un duplicado sin unir,BUCAL CIRUGIA FACIAL MAXILO TRAUMATOLOGIA
ORTODONCIA Y ORTOPEDIA DENTOMAXILAR,Odontológica,1,1,18,1,ORTODONCIA Y ORTOPEDIA DENTOMAXILAR,una sola institución: puede ser un duplicado sin unir,DENTOMAXILAR ORTODONCIA ORTOPEDIA
